"hourly_timestamp","mean_close"
"2017-08-31 04",4596.12633333333
"2017-08-31 05",4598.39733333333
"2017-08-31 06",4588.07133333333
"2017-08-31 07",4581.98066666667
"2017-08-31 08",4594.63316666667
"2017-08-31 09",4587.56983333334
"2017-08-31 10",4616.59533333333
"2017-08-31 11",4641.815
"2017-08-31 12",4664.699
"2017-08-31 13",4669.029
"2017-08-31 14",4668.6095
"2017-08-31 15",4667.37916666667
"2017-08-31 16",4668.29233333333
"2017-08-31 17",4673.033
"2017-08-31 18",4686.444
"2017-08-31 19",4695.4005
"2017-08-31 20",4689.827
"2017-08-31 21",4692.1715
"2017-08-31 22",4693.47783333333
"2017-08-31 23",4697.9545
"2017-09-01 00",4715.942
"2017-09-01 01",4728.27133333333
"2017-09-01 02",4743.48466666667
"2017-09-01 03",4721.27816666666
"2017-09-01 04",4699.17666666666
"2017-09-01 05",4673.97916666667
"2017-09-01 06",4664.31766666666
"2017-09-01 07",4697.2925
"2017-09-01 08",4733.58716666666
"2017-09-01 09",4741.34083333333
"2017-09-01 10",4755.22133333334
"2017-09-01 11",4756.133
"2017-09-01 12",4776.93966666667
"2017-09-01 13",4796.35516666667
"2017-09-01 14",4746.06066666667
"2017-09-01 15",4761.722
"2017-09-01 16",4772.28516666667
"2017-09-01 17",4780.124
"2017-09-01 18",4776.00166666666
"2017-09-01 19",4786.4625
"2017-09-01 20",4800.135
"2017-09-01 21",4802.09433333333
"2017-09-01 22",4797.9
"2017-09-01 23",4841.35016666667
"2017-09-02 00",4822.96866666667
"2017-09-02 01",4887.12433333333
"2017-09-02 02",4907.40816666667
"2017-09-02 03",4795.4165
"2017-09-02 04",4793.425
"2017-09-02 05",4647.7365
"2017-09-02 06",4624.16183333333
"2017-09-02 07",4729.60116666667
"2017-09-02 08",4635.9
"2017-09-02 09",4592.48333333334
"2017-09-02 10",4603.31983333333
"2017-09-02 11",4645.51233333333
"2017-09-02 12",4621.93183333333
"2017-09-02 13",4604.61416666666
"2017-09-02 14",4531.49183333333
"2017-09-02 15",4422.47966666667
"2017-09-02 16",4458.19633333333
"2017-09-02 17",4480.25116666667
"2017-09-02 18",4521.44016666666
"2017-09-02 19",4481.16533333333
"2017-09-02 20",4399.75816666667
"2017-09-02 21",4353.04166666667
"2017-09-02 22",4413.4675
"2017-09-02 23",4440.234
"2017-09-03 00",4556.082
"2017-09-03 01",4556.99316666667
"2017-09-03 02",4526.37283333333
"2017-09-03 03",4590.975
"2017-09-03 04",4657.91083333333
"2017-09-03 05",4677.16416666667
"2017-09-03 06",4666.08083333333
"2017-09-03 07",4618.29233333333
"2017-09-03 08",4640.17233333333
"2017-09-03 09",4563.92933333333
"2017-09-03 10",4508.784
"2017-09-03 11",4496.68716666667
"2017-09-03 12",4467.30083333333
"2017-09-03 13",4419.76216666667
"2017-09-03 14",4346.63516666667
"2017-09-03 15",4398.51233333333
"2017-09-03 16",4431.3785
"2017-09-03 17",4484.33983333333
"2017-09-03 18",4467.35833333333
"2017-09-03 19",4498.9485
